epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.649,1.91722,3.64817,1.03948,0.00516,0.80788,0.03053,0.00877,1.73198,3.79898,0.8827,0.000657277,0.000657277,0.000657277
2,199.322,1.63996,1.93578,0.90173,0.48045,0.69241,0.46902,0.25964,1.43076,1.75807,0.85496,0.00128025,0.00128025,0.00128025
3,296.35,1.61632,1.56361,0.90699,0.81695,0.79146,0.87321,0.44859,1.49784,1.11869,0.87041,0.00185923,0.00185923,0.00185923
4,394.111,1.6019,1.30086,0.89909,0.85187,0.87821,0.90358,0.53415,1.30767,0.89528,0.84079,0.001802,0.001802,0.001802
5,488.22,1.48631,1.13162,0.88577,0.91725,0.87369,0.9215,0.53048,1.37762,0.82616,0.8458,0.001736,0.001736,0.001736
6,581.712,1.45625,1.05693,0.88632,0.82899,0.88358,0.88414,0.51602,1.39291,0.90104,0.85307,0.00167,0.00167,0.00167
7,678.56,1.48667,1.00158,0.88425,0.87614,0.90596,0.90178,0.50327,1.34468,0.91052,0.84993,0.001604,0.001604,0.001604
8,766.302,1.44973,0.98372,0.87637,0.86516,0.85342,0.89125,0.50466,1.36779,0.86567,0.8448,0.001538,0.001538,0.001538
9,864.291,1.428,0.95183,0.87599,0.82998,0.80296,0.83866,0.47392,1.31594,1.0196,0.84002,0.001472,0.001472,0.001472
10,956.331,1.41627,0.93105,0.87336,0.81541,0.90148,0.86314,0.49236,1.30154,0.91309,0.83982,0.001406,0.001406,0.001406
11,1046.82,1.39023,0.91847,0.85939,0.88653,0.88525,0.90179,0.48338,1.44845,0.91066,0.86178,0.00134,0.00134,0.00134
12,1131.59,1.38172,0.91478,0.87741,0.88282,0.87685,0.91282,0.56119,1.27744,0.83727,0.8403,0.001274,0.001274,0.001274
13,1225.38,1.36425,0.89819,0.86077,0.88345,0.87192,0.9261,0.57387,1.24873,0.82021,0.83636,0.001208,0.001208,0.001208
14,1320.98,1.39527,0.88944,0.87169,0.89554,0.8867,0.90579,0.51474,1.30386,0.85294,0.83239,0.001142,0.001142,0.001142
15,1413.7,1.36022,0.88676,0.86209,0.91162,0.86386,0.90954,0.57085,1.20604,0.78836,0.82821,0.001076,0.001076,0.001076
16,1506.35,1.33665,0.87415,0.85781,0.86897,0.91471,0.88232,0.53015,1.27326,0.81544,0.82752,0.00101,0.00101,0.00101
17,1599.34,1.32493,0.86621,0.85745,0.87367,0.8867,0.91175,0.54132,1.30322,0.81512,0.84118,0.000944,0.000944,0.000944
18,1695.03,1.32365,0.86929,0.86011,0.87414,0.9064,0.87994,0.5354,1.30095,0.80326,0.83868,0.000878,0.000878,0.000878
19,1787,1.30294,0.87571,0.85648,0.90774,0.92094,0.90818,0.54615,1.27881,0.80199,0.83309,0.000812,0.000812,0.000812
20,1877.49,1.29551,0.8625,0.85317,0.90217,0.86315,0.91563,0.60071,1.16203,0.78768,0.82084,0.000746,0.000746,0.000746
21,1976.4,1.22759,0.86995,0.85306,0.90554,0.88177,0.92602,0.60922,1.20031,0.76762,0.82503,0.00068,0.00068,0.00068
22,2063.15,1.23976,0.83976,0.85166,0.92571,0.89655,0.93737,0.60427,1.20952,0.73925,0.83035,0.000614,0.000614,0.000614
23,2142.89,1.21753,0.84008,0.85365,0.90619,0.91626,0.91394,0.57066,1.19126,0.77831,0.82156,0.000548,0.000548,0.000548
24,2235.48,1.19927,0.83759,0.85473,0.78282,0.94581,0.82002,0.52099,1.14645,0.8381,0.81888,0.000482,0.000482,0.000482
25,2332.03,1.20243,0.84813,0.84517,0.87462,0.93596,0.87632,0.55357,1.19687,0.77841,0.82471,0.000416,0.000416,0.000416
26,2420.64,1.20106,0.82492,0.84978,0.89899,0.92611,0.90374,0.55362,1.26429,0.76954,0.83109,0.00035,0.00035,0.00035
27,2515.97,1.19131,0.81899,0.8453,0.89126,0.92118,0.90709,0.57859,1.17761,0.77786,0.83262,0.000284,0.000284,0.000284
28,2605.26,1.15888,0.80998,0.84499,0.89439,0.89655,0.88784,0.57788,1.15716,0.757,0.8282,0.000218,0.000218,0.000218
29,2699.91,1.15361,0.81131,0.85037,0.88622,0.92084,0.89498,0.58055,1.16588,0.75233,0.82655,0.000152,0.000152,0.000152
30,2792.6,1.1413,0.80745,0.83915,0.87986,0.93103,0.87509,0.57425,1.14296,0.7649,0.82536,8.6e-05,8.6e-05,8.6e-05
